player_id,球員背號,球員姓名,cluster
32,12,彭𦀡媃,0
34,17,陳思妤,0
37,7,黃芯瑜,0
38,9,蔡幼群,0
39,13,許菀芸,2
42,2,劉玉淳,0
43,14,許惠瑩,0
44,16,包茵綺,0
45,20,黃瀞萱,0
46,22,李怡萱,2
47,4,陳莉鎔,1
48,17,劉雙菱,0
49,14,陳莉鈞,2
50,13,陳潔,2
52,9,甘可慧,0
53,6,翁梓勻,0
54,12,廖苡任,1
57,18,邱詩晴,2
58,15,許恆芸,0
59,1,林良黛,2
61,2,張瓈文,0
62,9,陳妘臻,1
67,4,陽孟娟,2
69,19,陳亭汝,1
72,22,陳彥臻,2
73,21,葉于雯,0
96,8,洪詩涵,0
97,16,江昀庭,2
103,15,李子嫣,1
108,1,胡曉佩,0
109,20,池長璇,0
110,11,洪家瑤,0
111,19,劉美菁,0
114,11,張稦豈,0
115,12,張筱玉,2
138,2,邱凡綺,0
139,3,曾予柔,2
140,4,簡翊雯,0
141,9,陳薏,2
142,6,陳品宇,2
143,7,吳紫華,0
144,10,張庭瑋,1
146,1,江辰翊,1
147,19,林璽,2
149,17,盧佳玟,0
150,12,馬德蓉,0
161,33,許甄軒,0
162,8,陳喬恩,0
177,7,林書荷,0
178,7,Miku Isogai,0
192,4,林采臻,0
200,5,陳亭伊,2
209,10,陳映淳,1
210,10,陳芃宣,2
212,21,蔡旻軒,1
213,25,黃惠婷,0
214,6,劉映彤,1
215,13,Natthimar Kubkaew,0
216,16,范張予馨,2
217,17,杜家馨,1
218,18,陳妮君,0
219,13,周竩涵,0
220,14,宋湘薰,1
221,18,何承樺,2
